COMMENT,name,description,series,,,,,,,,
META,FX2N,MITSUBISHI_FX_PLC,FX2N,,,,,,,,
,,,,,,,,,,,
COMMENT,name,description,unit,RW,data type,vt,command,object_addr,rate,write_function_code,string_length
PROP,DI0,输入继电器0,,RO,bit,int,WR,X0000,1,BW,
PROP,DI7,输入继电器7,,RO,bit,int,WR,X0007,1,BW,
PROP,DI8,输入继电器8,,RO,bit,int,WR,X0010,1,BW,
PROP,DO0,输出继电器0,,RW,bit,int,WR,Y0000,1,BW,
PROP,DO7,输出继电器7,,RW,bit,int,WR,Y0007,1,BW,
PROP,DO8,输出继电器8,,RW,bit,int,WR,Y0010,1,BW,
PROP,MO0,辅助继电器0,,RO,bit,int,WR,M0000,1,BW,
PROP,MO9,辅助继电器9,,RO,bit,int,WR,M0009,1,BW,
PROP,MO10,辅助继电器10,,RO,bit,int,WR,M00010,1,BW,
PROP,S0,状态0,,RO,bit,int,WR,S0000,1,BW,
PROP,S9,状态9,,RO,bit,int,WR,S0009,1,BW,
PROP,S255,状态255,,RO,bit,int,WR,S0255,1,BW,
PROP,M8000,特殊辅助继电器0,,RO,bit,int,WR,M8000,1,BW,
PROP,TS000,定时器触点0,,RO,bit,int,WR,TS000,1,BW,
PROP,TS010,定时器触点10,,RO,bit,int,WR,TS010,1,BW,
PROP,TS255,定时器触点255,,RO,bit,int,WR,TS255,1,BW,
PROP,CS000,计数器触点0,,RO,bit,int,WR,CS000,1,BW,
PROP,CS031,计数器触点31,,RO,bit,int,WR,CS031,1,BW,
PROP,TN000,定时器当前值0,,RW,uint16,int,WR,TN000,1,WW,
PROP,TN010,定时器当前值10,,RW,uint16,int,WR,TN010,1,WW,
PROP,CN000,计数器当前值0,,RW,uint16,int,WR,CN000,1,WW,
PROP,CN001,计数器当前值1,,RW,uint16,int,WR,CN001,1,WW,
PROP,CN200,计数器(32位)当前值200,,RW,uint32,int,WR,CN200,1,WW,
PROP,D0000,数据寄存器0,,RW,uint16,int,WR,D0000,1,WW,
PROP,D0001,数据寄存器1,,RW,uint16,int,WR,D0001,1,WW,
PROP,R0000,扩展寄存器0,,RW,int16,int,WR,R0000,1,WW,
PROP,R0010,扩展寄存器10,,RW,uint32,float,WR,R0010,0.001,WW,
PROP,R0012,扩展寄存器12,,RW,int16,int,WR,R0012,1,WW,
PROP,R0099,扩展寄存器99,,RW,int16,int,WR,R0099,1,WW,
PROP,R0100,扩展寄存器100,,RW,float,float,WR,R0100,1,WW,
PROP,D8000,特殊寄存器0,,RO,string,string,WR,D8000,1,WW,10
