COMMENT,name,description,series,,,,,,,,
META,BMS,BMS Device,XXX,,,,,,,,
,,,,,,,,,,,
"COMMENT,点名,描述,单位,数据类型,读写属性,值类型,FC,start addr,rate",name,description,unit,RW,data type,vt,function_code,data_address,rate,offset,write_function_code
PROP,B01,BIT01,,RW,bit,int,1,0,0.001,0,
PROP,Us01,单体电压01,V,RW,uint8,float,3,0,0.001,0,
PROP,Us01_1,单体电压01,V,RO,uint8,float,3,0,0.001,1,
PROP,Us02,单体电压02,V,RO,int16,float,3,2,0.001,,
PROP,Us03,单体电压03,,RO,int16,float,3,4,0.001,,
PROP,Us04,单体电压04,,RO,int16,float,3,6,0.001,,
PROP,Us05,单体电压05,,RO,int16,float,3,8,0.001,,
PROP,Us06,单体电压06,,RO,int16,float,3,10,0.001,,
PROP,Us07,单体电压07,,RO,int16,float,3,12,0.001,,
PROP,Us08,单体电压08,,RO,int16,float,3,14,0.001,,
PROP,Us09,单体电压09,,RO,int16,float,3,16,0.001,,
PROP,Us10,单体电压10,,RO,int16,float,3,18,0.001,,
PROP,Us11,单体电压11,,RO,int16,float,3,20,0.001,,
PROP,Us12,单体电压12,,RO,int16,float,3,22,0.001,,
PROP,Us13,单体电压13,,RO,int16,float,3,24,0.001,,
PROP,Us14,单体电压14,,RO,int16,float,3,26,0.001,,
PROP,Us15,单体电压15,,RO,int16,float,3,28,0.001,,
PROP,Us16,单体电压16,,RO,int16,float,3,30,0.001,,
PROP,Ts01,单体温度01,,RO,int16,int,3,32,1,,
PROP,Ts02,单体温度02,,RO,int16,int,3,34,1,,
PROP,Ts03,单体温度03,,RO,int16,int,3,36,1,,
PROP,Ts04,单体温度04,,RO,int16,int,3,38,1,,
PROP,Ts05,单体温度05,,RO,int16,int,3,40,1,,
PROP,Ts06,单体温度06,,RO,int16,int,3,42,1,,
PROP,Ts07,单体温度07,,RO,int16,int,3,44,1,,
PROP,Ts08,单体温度08,,RO,int16,int,3,46,1,,
PROP,Tenv,环境温度,,RO,int16,int,3,48,1,,
PROP,Usmax,单体电压最大值,,RO,int16,float,3,50,0.001,,
PROP,Usmin,单体电压最小值,,RO,int16,float,3,52,0.001,,
PROP,Tshi,单体温度最高值,,RO,int16,int,3,54,1,,
PROP,Tslo,单体温度最低值,,RO,int16,int,3,56,1,,
PROP,UB,电池组电压,,RO,int16,float,3,58,0.001,,
PROP,UBL,母线电压,,RO,int16,float,3,60,0.001,,
PROP,Icc,充电电流,I,RO,int16,float,3,62,0.001,,
PROP,Ifd,放电电流,I,RO,int16,float,3,64,0.001,,
PROP,SOC,剩余容量%,,RO,int16,int,3,66,1,,
PROP,Cmax,额定容量Ah,,RO,int16,float,3,68,0.001,,
PROP,Cleft,剩余容量,,RW,int32,float,3,70,0.001,,
PROP,BNo,电池组号,,WO,int16,int,3,74,1,,
