COMMENT,name,description,series,,,,,,,,
META,HJ212,FreeIOE环保数采仪,T-100,,,,,,,,
,,,,,,,,,,,
COMMENT,sn,name,description,unit,RW,encode type,function_code,data_address,rate,offset,string_length
PROP,GW.HJ212,a00000,废气 ,立方米/秒,RW,float,3,0,1,,
PROP,GW.HJ212,a01011,烟气流速 ,米/秒,RW,float,3,2,1,,
PROP,GW.HJ212,a01012 ,烟气温度 ,摄氏度,RW,float,3,4,1,,
PROP,GW.HJ212,a01013,烟气压力 ,千帕,RW,float,3,6,1,,
PROP,GW.HJ212,a01014 ,烟气湿度,%,RW,float,3,8,1,,
PROP,GW.HJ212,a34013,烟尘,毫克/立方米,RW,float,3,10,1,,
PROP,GW.HJ212,a19001,氧气含量,%,RW,float,3,12,1,,
PROP,GW.HJ212,a21026,二氧化硫,毫克/立方米,RW,float,3,14,1,,
PROP,GW.HJ212,a21002,氮氧化物,毫克/立方米,RW,float,3,16,1,,
PROP,GW.HJ212,a21005,一氧化碳,毫克/立方米,RW,float,3,18,1,,
